mass,energy,peak,ds
1.6000000000000001e+30,1e+43,0.11377680967785245,15.750000000000007
1.6000000000000001e+30,1.5e+43,0.12890184907649538,14.650000000000002
1.6000000000000001e+30,2.0000000000000003e+43,0.14042988015254826,13.950000000000003
1.6000000000000001e+30,2.5e+43,0.14982668724733214,13.45
1.6000000000000001e+30,3e+43,0.157795744619584,12.950000000000003
1.6000000000000001e+30,3.5e+43,0.1647404756407106,12.650000000000004
1.6000000000000001e+30,4e+43,0.170903080335659,12.450000000000005
1.6000000000000001e+30,4.5e+43,0.1764562652765784,12.150000000000002
1.6000000000000001e+30,5e+43,0.18151285918681465,12.050000000000004
1.6000000000000001e+30,5.500000000000001e+43,0.1861593356787877,11.850000000000001
1.6000000000000001e+30,6.000000000000001e+43,0.1904601481219582,11.650000000000004
1.6000000000000001e+30,6.500000000000002e+43,0.19446579144461731,11.550000000000002
1.6000000000000001e+30,7.000000000000002e+43,0.19821380909981348,11.450000000000001
1.6000000000000001e+30,7.500000000000003e+43,0.20174425160553183,11.250000000000002
1.6000000000000001e+30,8.000000000000003e+43,0.20507196027022712,11.250000000000002
1.6000000000000001e+30,8.500000000000004e+43,0.20823084124031632,11.150000000000002
1.6000000000000001e+30,9.000000000000004e+43,0.2112297848606033,10.950000000000001
1.6000000000000001e+30,9.500000000000004e+43,0.21408614395751507,10.850000000000003
1.62e+30,1e+43,0.1124521180246051,15.950000000000003
1.62e+30,1.5e+43,0.12745695425235049,14.750000000000007
1.62e+30,2.0000000000000003e+43,0.13889913313409064,14.05
1.62e+30,2.5e+43,0.14822984132752454,13.55
1.62e+30,3e+43,0.15614531786759067,13.150000000000002
1.62e+30,3.5e+43,0.16304427674850416,12.750000000000004
1.62e+30,4e+43,0.16916965974699597,12.550000000000002
1.62e+30,4.5e+43,0.1746872647842158,12.250000000000002
1.62e+30,5e+43,0.17971524816277473,12.150000000000004
1.62e+30,5.500000000000001e+43,0.18433426279736267,11.950000000000001
1.62e+30,6.000000000000001e+43,0.18861080265846072,11.750000000000002
1.62e+30,6.500000000000002e+43,0.19259504628841614,11.650000000000002
1.62e+30,7.000000000000002e+43,0.1963243485760354,11.55
1.62e+30,7.500000000000003e+43,0.19983361015435208,11.350000000000003
1.62e+30,8.000000000000003e+43,0.20314694934134253,11.250000000000004
1.62e+30,8.500000000000004e+43,0.20628795039511946,11.150000000000004
1.62e+30,9.000000000000004e+43,0.20927039750611315,11.05
1.62e+30,9.500000000000004e+43,0.21211193986749244,11.050000000000002
1.64e+30,1e+43,0.11115448385262315,16.050000000000004
1.64e+30,1.5e+43,0.12604071208244227,14.849999999999994
1.64e+30,2.0000000000000003e+43,0.13739801791679523,14.149999999999999
1.64e+30,2.5e+43,0.14666337019398978,13.650000000000002
1.64e+30,3e+43,0.1545262620349968,13.25
1.64e+30,3.5e+43,0.16137935778445914,12.850000000000001
1.64e+30,4e+43,0.16746790575903767,12.65
1.64e+30,4.5e+43,0.1729510718123791,12.450000000000001
1.64e+30,5e+43,0.1779496743386449,12.15
